HomeTeam,AwayTeam,FTR,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTFormPts,ATFormPts,HTGD,ATGD
Coventry,Southampton,NH,W,L,D,L,L,W,L,L,W,D,4,7,-0.888888889,-0.333333333
Charlton,Everton,H,L,D,L,L,W,D,L,L,W,W,4,7,-0.263157895,-0.473684211
Chelsea,Bradford,H,L,W,W,L,L,L,D,W,D,L,6,5,0.368421053,-0.894736842
Derby,Newcastle,H,W,L,W,L,W,W,L,D,W,L,9,7,-0.736842105,-0.105263158
Leeds,Aston Villa,NH,L,W,L,L,W,W,D,D,D,D,6,7,0,0.315789474
Leicester,West Ham,H,W,L,W,L,W,D,D,W,W,W,9,11,0.315789474,0.263157895
Liverpool,Arsenal,H,W,L,W,L,L,D,W,W,L,L,6,7,0.473684211,0.842105263
Man United,Ipswich,H,L,D,W,W,W,W,W,L,W,W,10,12,1.578947368,0.473684211
Sunderland,Man City,H,L,W,W,W,W,D,W,L,L,L,12,4,0,-0.368421053
Tottenham,Middlesbrough,NH,D,D,L,W,W,W,L,L,D,L,8,4,-0.052631579,-0.421052632
Arsenal,Leicester,H,D,W,W,L,L,W,L,W,L,W,7,9,0.842105263,0.315789474
Aston Villa,Man United,NH,L,W,D,D,D,W,L,D,W,W,6,10,0.25,1.6
Bradford,Sunderland,NH,L,L,D,W,D,W,L,W,W,W,5,12,-1,0.05
Everton,Coventry,NH,L,D,L,L,W,D,L,W,L,D,4,5,-0.5,-0.85
Ipswich,Chelsea,NH,L,W,W,L,W,W,L,W,W,L,9,9,0.35,0.5
Man City,Derby,NH,L,D,W,L,L,W,W,L,W,L,4,9,-0.4,-0.6
Middlesbrough,Liverpool,H,D,W,L,L,D,W,W,L,W,L,5,9,-0.4,0.65
Newcastle,Leeds,H,L,W,L,D,W,L,L,W,L,L,7,3,-0.2,-0.05
West Ham,Charlton,H,L,D,D,W,W,W,L,D,L,L,8,4,0.2,-0.2
Southampton,Tottenham,H,D,L,W,L,L,D,D,D,L,W,4,6,-0.4,-0.05
Arsenal,Sunderland,NH,L,D,W,W,L,W,L,W,W,W,7,12,0.6,0.05
Ipswich,Tottenham,H,D,L,W,W,L,L,D,D,D,L,7,3,0.333333333,-0.142857143
Man City,Charlton,NH,D,L,D,W,L,L,W,L,D,L,5,4,-0.380952381,-0.428571429
Middlesbrough,Coventry,NH,W,D,W,L,L,W,D,L,W,L,7,7,-0.333333333,-0.761904762
Newcastle,Man United,NH,W,L,W,L,D,W,W,L,D,W,7,10,-0.142857143,1.571428571
Southampton,Derby,H,W,D,L,W,L,D,W,W,L,W,7,10,-0.285714286,-0.571428571
Charlton,Arsenal,H,L,W,L,D,L,W,L,D,W,W,4,10,-0.428571429,0.80952381
Chelsea,Aston Villa,H,D,W,L,W,W,L,L,W,D,D,10,5,0.476190476,0.19047619
Coventry,Man City,NH,W,D,L,W,L,D,L,D,W,L,7,5,-0.761904762,-0.380952381
Derby,Everton,H,D,W,W,L,W,L,L,D,L,L,10,1,-0.571428571,-0.523809524
Leeds,Middlesbrough,NH,D,L,L,W,L,W,D,W,L,L,4,7,-0.047619048,-0.333333333
Leicester,Bradford,NH,L,L,W,W,L,W,L,L,L,D,6,4,0.045454545,-1
Liverpool,Southampton,H,W,L,W,W,L,W,W,D,L,W,9,10,0.590909091,-0.227272727
Man United,West Ham,H,D,W,W,L,D,L,W,L,D,D,8,5,1.5,0.318181818
Sunderland,Ipswich,H,D,W,W,L,W,W,D,L,W,W,10,10,0.181818182,0.454545455
Tottenham,Newcastle,H,L,L,D,D,D,D,W,L,W,L,3,7,-0.272727273,-0.136363636
Arsenal,Chelsea,NH,D,W,L,D,W,W,D,W,L,W,8,10,0.772727273,0.5
Aston Villa,Liverpool,NH,L,L,L,W,D,W,L,W,W,L,4,9,0.045454545,0.590909091
