FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,ATFormPts,HTGD,ATGD,DiffPts,DiffFormPts
H,15,17,32,12,0.7058823529411765,1.7058823529411764,L,D,L,L,L,W,L,W,D,W,10,-1.0,0.2941176470588235,-1.0,-0.5294117647058824
NH,32,23,23,17,1.588235294117647,1.588235294117647,W,L,L,W,L,L,W,W,W,L,9,0.5294117647058824,0.3529411764705882,0.0,-0.1764705882352941
NH,19,18,14,30,1.4705882352941178,0.8235294117647058,D,D,D,L,W,L,L,L,L,L,0,0.2941176470588235,-0.7058823529411765,0.6470588235294118,0.3529411764705882
H,20,16,35,32,0.7222222222222222,0.8333333333333334,L,W,L,W,D,W,L,D,L,L,4,-0.8333333333333334,-0.8888888888888888,-0.1111111111111111,0.1666666666666666
NH,19,23,28,18,1.1666666666666667,1.3888888888888888,L,L,W,W,W,D,W,W,W,W,13,-0.5,0.2777777777777778,-0.2222222222222222,-0.2222222222222222
H,24,22,17,28,1.6666666666666667,1.1111111111111112,W,L,W,W,W,W,L,L,W,D,7,0.3888888888888889,-0.3333333333333333,0.5555555555555556,0.2777777777777778
H,24,18,23,16,1.3888888888888888,1.6111111111111112,W,L,L,W,L,W,W,W,W,D,13,0.0555555555555555,0.1111111111111111,-0.2222222222222222,-0.3888888888888889
H,17,24,13,27,1.6111111111111112,1.2222222222222223,L,W,L,W,D,D,L,L,W,L,4,0.2222222222222222,-0.1666666666666666,0.3888888888888889,0.1666666666666666
H,19,32,28,24,0.6111111111111112,1.2777777777777777,L,L,D,L,L,W,W,L,L,D,7,-0.5,0.4444444444444444,-0.6666666666666666,-0.3333333333333333
H,18,12,21,28,1.3333333333333333,0.6666666666666666,L,D,W,L,D,D,W,D,L,L,5,-0.1666666666666666,-0.8888888888888888,0.6666666666666666,0.0
NH,44,32,13,24,2.2222222222222223,1.5,D,W,W,W,W,L,W,L,L,W,6,1.7222222222222223,0.4444444444444444,0.7222222222222222,0.3888888888888889
NH,25,29,26,13,1.3333333333333333,1.8888888888888888,D,L,W,W,L,W,W,L,L,D,7,-0.0555555555555555,0.8888888888888888,-0.5555555555555556,0.0
NH,16,22,32,28,0.8333333333333334,1.1111111111111112,W,L,D,L,L,W,L,L,W,D,7,-0.8888888888888888,-0.3333333333333333,-0.2777777777777778,-0.1666666666666666
H,25,20,30,29,1.1578947368421053,1.1578947368421053,L,D,L,L,W,D,L,L,W,W,7,-0.2631578947368421,-0.4736842105263157,0.0,-0.1578947368421052
H,32,13,25,30,1.2105263157894737,0.631578947368421,L,W,W,L,L,L,D,W,D,L,5,0.3684210526315789,-0.8947368421052632,0.5789473684210527,0.0526315789473684
