Champion,won,drawn,lost,gf,ga,points
,19,14,5,68,33,71
,19,10,9,75,47,67
,18,8,12,72,53,62
,18,7,13,51,46,61
,18,6,14,70,63,60
,15,14,9,58,46,59
,15,7,16,55,53,52
,11,12,15,40,49,45
,11,11,16,38,47,44
,11,8,19,31,58,41
,11,7,20,42,55,40
,11,6,21,37,71,39
,9,11,18,38,68,38
,8,12,18,34,57,36
,9,7,22,51,68,34
,7,10,21,48,78,31
,6,7,25,36,73,25
,28,7,3,96,34,91
,28,5,5,91,29,89
,24,10,4,86,41,82
,20,8,10,76,61,68
,20,6,12,74,61,66
,18,9,11,77,63,63
,18,6,14,85,62,60
,18,6,14,57,58,60
,14,10,14,60,74,52
,13,10,15,57,58,49
,12,12,14,55,62,48
,13,9,16,54,67,48
,13,8,17,55,61,47
,13,7,18,50,65,46
,13,9,16,40,51,40
,10,9,19,56,65,39
,9,9,20,49,67,32
,6,8,24,52,85,26
,5,9,24,41,78,24
,3,7,28,35,104,16
